Scenario,groups,iF1,iF2,iF3,iF4,iF5,iF6,iF7,iF8,iF9,iF10,iF11,iF12,iF13,iF14,iF15,iF16,iF17,iF18,iF19
S1_F0.4,jF11,-1.12E-05,0.000442145,0.000546237,0.000422552,0.000265989,0.000172169,0.000115652,-4.05E-06,-7.92E-05,-3.50E-05,0,-1.19E-05,-0.000102588,-3.82E-05,-0.000160419,-0.000284706,-0.000349119,-0.000383532,-0.000186389
S1_F0.4,jF12,-2.06E-05,1.53E-05,0.000133151,9.13E-05,5.48E-05,0.000233681,2.39E-05,3.33E-06,4.21E-06,1.94E-05,1.19E-05,0,5.02E-05,-0.000236358,-0.000150645,-0.000294048,-0.000340225,-0.000319196,-0.000200471
S1_F0.4,jF13,-9.56E-07,0.00027986,0.000190037,0.000180248,0.000235371,0.000112954,0.000104006,-2.49E-05,1.64E-05,1.07E-05,0.000102588,-5.02E-05,0,-1.80E-05,-9.84E-05,-0.00033058,-0.000314568,-0.000279882,-0.000318621
S1_F0.4,jF14,-2.55E-05,9.98E-07,6.38E-05,2.12E-05,0.000118929,7.73E-05,0.000300026,9.92E-05,7.04E-05,5.99E-05,3.82E-05,0.000236358,1.80E-05,0,-8.95E-05,-0.000368755,-0.000270304,-0.000240681,-0.00025085
S1_F0.4,jF15,0.000162423,0.000196061,8.98E-05,6.61E-05,0.000117972,6.88E-05,0.000208866,0.000105579,9.17E-05,8.21E-05,0.000160419,0.000150645,9.84E-05,8.95E-05,0,-0.000379396,-0.000246824,-0.000237673,-9.62E-05
S1_F0.4,jF16,7.25E-05,0.000221163,0.000231932,0.000233653,0.000263814,0.000232739,0.00024335,0.000206927,0.000238897,0.000265062,0.000284706,0.000294048,0.00033058,0.000368755,0.000379396,0,0,0,0.000349789
S1_F0.4,jF17,6.19E-05,0.000460591,0.000305317,0.000295501,0.000329618,0.000377188,0.000399402,0.00048178,0.00044791,0.000408611,0.000349119,0.000340225,0.000314568,0.000270304,0.000246824,0,0,0,0.000381539
S1_F0.4,jF18,6.22E-05,0.000562366,0.000325659,0.000315488,0.000308485,0.0004343,0.000514136,0.000854403,0.000450703,0.000521513,0.000383532,0.000319196,0.000279882,0.000240681,0.000237673,0,0,0,0.000338739
S1_F0.4,jF19,-4.22E-06,0.00016642,0.000176335,0.000149589,0.000195417,0.000146867,0.000154104,0.000120405,0.000153313,0.000188226,0.000186389,0.000200471,0.000318621,0.00025085,9.62E-05,-0.000349789,-0.000381539,-0.000338739,0
S1_F0.6,jF1,0,2.09E-05,4.48E-05,-0.000202729,-0.0001429,-6.01E-05,-7.53E-05,-9.34E-05,8.50E-06,1.37E-05,1.14E-05,2.06E-05,1.28E-06,2.56E-05,-0.000162862,-7.26E-05,-6.20E-05,-6.23E-05,4.30E-06
S1_F0.6,jF2,-2.09E-05,0,0.007605058,-1.71E-05,3.07E-06,-1.51E-05,-2.14E-06,-6.37E-06,-1.60E-05,-1.26E-05,-0.000443166,-1.53E-05,-0.00028055,-9.28E-07,-0.000196737,-0.000221365,-0.000461709,-0.000563827,-0.000166507
S1_F0.6,jF3,-4.48E-05,-0.007605058,0,-0.001999105,-0.001496997,-0.001050485,-0.000870267,-0.000251855,-0.000399729,-0.000280725,-0.00054984,-0.000134525,-0.000190354,-6.44E-05,-9.04E-05,-0.000232831,-0.000306922,-0.000327712,-0.000177297
S1_F0.6,jF4,0.000202729,1.71E-05,0.001999105,0,9.70E-05,-0.00066303,-0.00054721,-0.000350172,-0.000276037,-0.000289959,-0.000423752,-9.18E-05,-0.000179935,-2.13E-05,-6.62E-05,-0.000234025,-0.000296317,-0.000316569,-0.000149811
S1_F0.6,jF5,0.0001429,-3.07E-06,0.001496997,-9.70E-05,0,-0.000540274,-0.000521226,-0.00061612,-0.000335747,-0.00029322,-0.00026682,-5.50E-05,-0.000235331,-0.000119627,-0.000118474,-0.000264363,-0.000330585,-0.000309433,-0.000195796
S1_F0.6,jF6,6.01E-05,1.51E-05,0.001050485,0.00066303,0.000540274,0,0.000178625,-3.87E-05,-0.000191001,-0.000111642,-0.000172223,-0.000234271,-0.000112407,-7.73E-05,-6.88E-05,-0.000233023,-0.000377911,-0.00043518,-0.000147018
S1_F0.6,jF7,7.53E-05,2.14E-06,0.000870267,0.00054721,0.000521226,-0.000178625,0,-6.62E-06,-1.77E-05,-6.11E-06,-0.000115596,-2.39E-05,-0.00010357,-0.000299875,-0.000209401,-0.000243588,-0.000399909,-0.000514757,-0.000154193
S1_F0.6,jF8,9.34E-05,6.37E-06,0.000251855,0.000350172,0.00061612,3.87E-05,6.62E-06,0,-6.23E-08,8.48E-06,4.01E-06,-3.43E-06,2.49E-05,-9.91E-05,-0.000105834,-0.000207433,-0.000482206,-0.000854535,-0.000120972
S1_F0.6,jF9,-8.50E-06,1.60E-05,0.000399729,0.000276037,0.000335747,0.000191001,1.77E-05,6.23E-08,0,0.000466798,7.93E-05,-4.26E-06,-1.61E-05,-7.03E-05,-9.18E-05,-0.000239281,-0.000448325,-0.000451006,-0.000153735
S1_F0.6,jF10,-1.37E-05,1.26E-05,0.000280725,0.000289959,0.00029322,0.000111642,6.11E-06,-8.48E-06,-0.000466798,0,3.60E-05,-1.94E-05,-1.04E-05,-5.98E-05,-8.22E-05,-0.000265452,-0.000408901,-0.000521694,-0.000188698
S1_F0.6,jF11,-1.14E-05,0.000443166,0.00054984,0.000423752,0.00026682,0.000172223,0.000115596,-4.01E-06,-7.93E-05,-3.60E-05,0,-1.19E-05,-0.000102041,-3.83E-05,-0.000160811,-0.000285135,-0.000349673,-0.000384117,-0.000186763
S1_F0.6,jF12,-2.06E-05,1.53E-05,0.000134525,9.18E-05,5.50E-05,0.000234271,2.39E-05,3.43E-06,4.26E-06,1.94E-05,1.19E-05,0,5.04E-05,-0.000235508,-0.000150679,-0.000294387,-0.000340492,-0.000319363,-0.000200854
S1_F0.6,jF13,-1.28E-06,0.00028055,0.000190354,0.000179935,0.000235331,0.000112407,0.00010357,-2.49E-05,1.61E-05,1.04E-05,0.000102041,-5.04E-05,0,-1.80E-05,-9.85E-05,-0.000331141,-0.000315184,-0.000280393,-0.000319391
S1_F0.6,jF14,-2.56E-05,9.28E-07,6.44E-05,2.13E-05,0.000119627,7.73E-05,0.000299875,9.91E-05,7.03E-05,5.98E-05,3.83E-05,0.000235508,1.80E-05,0,-8.96E-05,-0.000368992,-0.000270734,-0.000241031,-0.000251361
S1_F0.6,jF15,0.000162862,0.000196737,9.04E-05,6.62E-05,0.000118474,6.88E-05,0.000209401,0.000105834,9.18E-05,8.22E-05,0.000160811,0.000150679,9.85E-05,8.96E-05,0,-0.000379537,-0.000247096,-0.000237859,-9.66E-05
S1_F0.6,jF16,7.26E-05,0.000221365,0.000232831,0.000234025,0.000264363,0.000233023,0.000243588,0.000207433,0.000239281,0.000265452,0.000285135,0.000294387,0.000331141,0.000368992,0.000379537,0,0,0,0.000350173
S1_F0.6,jF17,6.20E-05,0.000461709,0.000306922,0.000296317,0.000330585,0.000377911,0.000399909,0.000482206,0.000448325,0.000408901,0.000349673,0.000340492,0.000315184,0.000270734,0.000247096,0,0,0,0.000381918
S1_F0.6,jF18,6.23E-05,0.000563827,0.000327712,0.000316569,0.000309433,0.00043518,0.000514757,0.000854535,0.000451006,0.000521694,0.000384117,0.000319363,0.000280393,0.000241031,0.000237859,0,0,0,0.00033903
S1_F0.6,jF19,-4.30E-06,0.000166507,0.000177297,0.000149811,0.000195796,0.000147018,0.000154193,0.000120972,0.000153735,0.000188698,0.000186763,0.000200854,0.000319391,0.000251361,9.66E-05,-0.000350173,-0.000381918,-0.00033903,0
S1_F0.8,jF1,0,2.08E-05,4.52E-05,-0.000203159,-0.000141876,-6.01E-05,-7.59E-05,-9.28E-05,8.69E-06,1.38E-05,1.15E-05,2.07E-05,1.61E-06,2.57E-05,-0.000163291,-7.27E-05,-6.20E-05,-6.23E-05,4.37E-06
S1_F0.8,jF2,-2.08E-05,0,0.007763117,-1.69E-05,3.22E-06,-1.49E-05,-2.04E-06,-6.19E-06,-1.59E-05,-1.26E-05,-0.000445963,-1.51E-05,-0.000279655,-7.34E-07,-0.000198056,-0.0002211,-0.000463468,-0.000566531,-0.00016583
S1_F0.8,jF3,-4.52E-05,-0.007763117,0,-0.002020405,-0.001500265,-0.00106123,-0.000883188,-0.000251376,-0.000401814,-0.000283797,-0.000553418,-0.000135894,-0.000190647,-6.51E-05,-9.09E-05,-0.000233725,-0.000308528,-0.000329774,-0.000178251
